"Docente","Componente Curricular","Turma","Horário","Discentes","Média Geral","Desvio Padrão Geral"
"ADA LIMA FERREIRA DE SOUSA","ECT2105 - PRÁTICAS DE LEITURA E ESCRITA I","1","4M12 (13/02/2017 - 01/07/2017)","98","9.57","1.7"
"ADA LIMA FERREIRA DE SOUSA","ECT2105 - PRÁTICAS DE LEITURA E ESCRITA I","3","4M56 (13/02/2017 - 01/07/2017)","111","9.5","1.53"
"ADA LIMA FERREIRA DE SOUSA","ECT2205 - PRÁTICAS DE LEITURA E ESCRITA II","3","2T34 (13/02/2017 - 01/07/2017)","90","9.43","1.6"
"ALEXANDRE MAGNUS FERNANDES GUIMARAES","ECT2414 - ELETRICIDADE APLICADA","01A","24M56 4T12 (13/02/2017 - 31/03/2017), 24M56 (01/04/2017 - 01/07/2017)","23","9.57","1.57"
"ALEXANDRE MAGNUS FERNANDES GUIMARAES","ECT2414 - ELETRICIDADE APLICADA","01B","24M56 4T34 (13/02/2017 - 31/03/2017), 24M56 (01/04/2017 - 01/07/2017)","23","9.16","1.65"
"ALEXANDRE MAGNUS FERNANDES GUIMARAES","ECT2414 - ELETRICIDADE APLICADA","01C","24M56 5T12 (13/02/2017 - 31/03/2017), 24M56 (01/04/2017 - 25/06/2017)","25","9.52","1.24"
"ALEXANDRE MAGNUS FERNANDES GUIMARAES","ECT2414 - ELETRICIDADE APLICADA","01D","24M56 5T34 (13/02/2017 - 31/03/2017), 24M56 (01/04/2017 - 25/06/2017)","24","9.57","1.69"
"ALEXANDRE MAGNUS FERNANDES GUIMARAES","ECT2414 - ELETRICIDADE APLICADA","03A","2T56 24N34 (13/02/2017 - 31/03/2017), 24N34 (01/04/2017 - 01/07/2017)","23","9.78","1.11"
"ALEXANDRE MAGNUS FERNANDES GUIMARAES","ECT2414 - ELETRICIDADE APLICADA","03B","3T56 24N34 (13/02/2017 - 31/03/2017), 24N34 (01/04/2017 - 01/07/2017)","24","9.53","1.41"
"ALEXANDRE MAGNUS FERNANDES GUIMARAES","ECT2414 - ELETRICIDADE APLICADA","03C","7T12 24N34 (13/02/2017 - 31/03/2017), 24N34 (01/04/2017 - 01/07/2017)","13","8.53","2.4"
"ALEXANDRE MAGNUS FERNANDES GUIMARAES","ECT2414 - ELETRICIDADE APLICADA","03D","7T34 24N34 (13/02/2017 - 31/03/2017), 24N34 (01/04/2017 - 01/07/2017)","15","9.49","1.33"
"ALEXSANDRO PEREIRA LIMA","ECT2103 - CÁLCULO I","5","2356N12 (25/04/2017 - 01/07/2017)","94","9.23","1.56"
"ALEXSANDRO PEREIRA LIMA","ECT2103 - CÁLCULO I","6","2356N34 (25/04/2017 - 01/07/2017)","94","9.44","1.54"
"AMANDA MELISSA DAMIAO LEITE","ECT2411 - CIÊNCIA E TECNOLOGIA DOS MATERIAIS","02A","24T34 (13/02/2017 - 19/02/2017), 4M34 24T34 (20/02/2017 - 31/03/2017), 24T34 (01/04/2017 - 01/07/2017)","19","9.52","1.2"
"AMANDA MELISSA DAMIAO LEITE","ECT2411 - CIÊNCIA E TECNOLOGIA DOS MATERIAIS","02B","24T34 (13/02/2017 - 19/02/2017), 4M56 24T34 (20/02/2017 - 31/03/2017), 24T34 (01/04/2017 - 01/07/2017)","24","9.39","1.91"
"AMANDA MELISSA DAMIAO LEITE","ECT2411 - CIÊNCIA E TECNOLOGIA DOS MATERIAIS","02C","24T34 (13/02/2017 - 19/02/2017), 5M34 24T34 (20/02/2017 - 31/03/2017), 24T34 (01/04/2017 - 01/07/2017)","16","9.4","2.25"
"AMANDA MELISSA DAMIAO LEITE","ECT2411 - CIÊNCIA E TECNOLOGIA DOS MATERIAIS","02D","24T34 (13/02/2017 - 19/02/2017), 5M56 24T34 (20/02/2017 - 31/03/2017), 24T34 (01/04/2017 - 01/07/2017)","21","9.36","1.42"
"AMANDA MELISSA DAMIAO LEITE","ECT2411 - CIÊNCIA E TECNOLOGIA DOS MATERIAIS","03B","24T56 (13/02/2017 - 19/02/2017), 6M56 24T56 (20/02/2017 - 31/03/2017), 24T56 (01/04/2017 - 01/07/2017)","24","9.64","1.34"
"AMANDA MELISSA DAMIAO LEITE","ECT2411 - CIÊNCIA E TECNOLOGIA DOS MATERIAIS","03C","24T56 (13/02/2017 - 19/02/2017), 7M12 24T56 (20/02/2017 - 31/03/2017), 24T56 (01/04/2017 - 01/07/2017)","16","9.65","1.63"
"AMANDA MELISSA DAMIAO LEITE","ECT2411 - CIÊNCIA E TECNOLOGIA DOS MATERIAIS","03D","24T56 (13/02/2017 - 19/02/2017), 7M34 24T56 (20/02/2017 - 31/03/2017), 24T56 (01/04/2017 - 01/07/2017)","17","9.65","1.04"
"ANDRE BESSA MOREIRA","ECT2307 - FÍSICA EXPERIMENTAL I","12A","4M123 (13/02/2017 - 18/03/2017), 4M123 (01/05/2017 - 01/07/2017)","18","9.8","0.79"
"ANDRE BESSA MOREIRA","ECT2403 - FÍSICA EXPERIMENTAL II","08A","7M123 (13/02/2017 - 18/03/2017), 7M123 (01/05/2017 - 01/07/2017)","14","9.61","1.76"
"ANDRE BESSA MOREIRA","ECT2403 - FÍSICA EXPERIMENTAL II","12A","4M456 (13/02/2017 - 18/03/2017), 4M456 (01/05/2017 - 01/07/2017)","29","9.73","1.18"
"ANDRE BESSA MOREIRA","ECT2304 - INTRODUÇÃO À FÍSICA CLÁSSICA II","1","35M34 (13/02/2017 - 01/07/2017)","91","9.61","1.45"
"AQUILES MEDEIROS FILGUEIRA BURLAMAQUI","ECT2303 - LINGUAGEM DE PROGRAMAÇÃO","02C","35M12 4T12 (13/02/2017 - 01/07/2017)","8","9.94","1.02"
"AQUILES MEDEIROS FILGUEIRA BURLAMAQUI","ECT2303 - LINGUAGEM DE PROGRAMAÇÃO","02D","35M12 4T34 (13/02/2017 - 01/07/2017)","12","9.84","1.29"
"AQUILES MEDEIROS FILGUEIRA BURLAMAQUI","ECT2203 - LÓGICA DE PROGRAMAÇÃO","09C","4M56 35T12 (13/02/2017 - 27/06/2017)","22","9.52","1.51"
"AQUILES MEDEIROS FILGUEIRA BURLAMAQUI","ECT2203 - LÓGICA DE PROGRAMAÇÃO","09D","4M56 35T12 (13/02/2017 - 27/06/2017)","22","9.67","1.4"
"AQUILES MEDEIROS FILGUEIRA BURLAMAQUI","ECT2203 - LÓGICA DE PROGRAMAÇÃO","11A","4M34 35T34 (13/02/2017 - 27/06/2017)","22","9.55","1.29"
"AQUILES MEDEIROS FILGUEIRA BURLAMAQUI","ECT2203 - LÓGICA DE PROGRAMAÇÃO","11B","4M34 35T34 (13/02/2017 - 27/06/2017)","21","9.62","2.1"
"BRUNO MARQUES FERREIRA DA SILVA","ECT2303 - LINGUAGEM DE PROGRAMAÇÃO","05A","6T34 35N12 (13/02/2017 - 01/07/2017)","30","9.86","1.39"
"BRUNO MARQUES FERREIRA DA SILVA","ECT2303 - LINGUAGEM DE PROGRAMAÇÃO","05B","6T56 35N12 (13/02/2017 - 01/07/2017)","31","9.66","1.55"
"BRUNO MARQUES FERREIRA DA SILVA","ECT2303 - LINGUAGEM DE PROGRAMAÇÃO","05C","7T12 35N12 (13/02/2017 - 01/07/2017)","19","9.82","1.24"
"BRUNO MARQUES FERREIRA DA SILVA","ECT2303 - LINGUAGEM DE PROGRAMAÇÃO","05D","7T34 35N12 (13/02/2017 - 01/07/2017)","12","8.94","1.81"
"CARLA GIOVANA CABRAL","ECT2501 - COMUNICAÇÃO PÚBLICA DA CIÊNCIA E DA TECNOLOGIA","01A","4T1234 (13/02/2017 - 01/07/2017)","11","9.65","0.93"
"CARLA GIOVANA CABRAL","ECT1507 - RELAÇÕES DE GÊNERO EM CIÊNCIAS E TECNOLOGIA","1","3T1234 (13/02/2017 - 01/07/2017)","8","9.45","1.1"
"CARLOS ALBERTO OLARTE VEGA","ECT2303 - LINGUAGEM DE PROGRAMAÇÃO","01A","345M12 (13/02/2017 - 01/07/2017)","27","9.71","1.37"
"CARLOS ALBERTO OLARTE VEGA","ECT2303 - LINGUAGEM DE PROGRAMAÇÃO","01B","35M12 4T12 (13/02/2017 - 01/07/2017)","25","9.55","1.35"
"CARLOS ALBERTO OLARTE VEGA","ECT2303 - LINGUAGEM DE PROGRAMAÇÃO","01C","35M12 4T34 (13/02/2017 - 01/07/2017)","21","9.61","1.28"
"CARLOS ALBERTO OLARTE VEGA","ECT2303 - LINGUAGEM DE PROGRAMAÇÃO","01D","35M12 4T56 (13/02/2017 - 01/07/2017)","22","9.53","1.46"
"CARLOS ALBERTO OLARTE VEGA","ECT2540 - PROGRAMAÇÃO ORIENTADA A OBJETOS","01A","35T34 (13/02/2017 - 01/07/2017)","20","9.85","0.94"
"CARLOS ALEXANDRE CAMARGO DE ABREU","ECT2206 - GESTÃO E ECONOMIA DA CIÊNCIA, TECNOLOGIA E INOVAÇÃO","6","24T34 (13/02/2017 - 01/07/2017)","97","8.87","2.06"
"CARLOS ALEXANDRE CAMARGO DE ABREU","ECT1503 - MATEMÁTICA FINANCEIRA","1","24T12 (13/02/2017 - 01/07/2017)","65","9.22","1.77"
"CARLOS EDUARDO PELLICER DE OLIVEIRA","ECT2103 - CÁLCULO I","8","35T34 (13/02/2017 - 01/07/2017)","91","8.75","2.22"
"CARLOS EDUARDO PELLICER DE OLIVEIRA","ECT2415 - EQUAÇÕES DIFERENCIAIS","2","35N12 (13/02/2017 - 01/07/2017)","40","9.66","1.34"
"DANIEL NELSON MACIEL","ECT2412 - MECÂNICA DOS SÓLIDOS","1","35T56 (13/02/2017 - 01/07/2017)","103","9.61","1.4"
"DANIEL NELSON MACIEL","ECT2412 - MECÂNICA DOS SÓLIDOS","2","35T12 (13/02/2017 - 01/07/2017)","53","9.55","1.79"
"DARLAN ARAUJO MOREIRA","ECT2201 - CÁLCULO II","1","46T34 (13/02/2017 - 01/07/2017)","103","9.4","1.62"
"DARLAN ARAUJO MOREIRA","ECT2201 - CÁLCULO II","6","46T12 (13/02/2017 - 01/07/2017)","63","9.66","1.31"
"DEBORA MACHADO DE OLIVEIRA MEDINA","ECT2416 - EXPRESSÃO GRÁFICA","01A","35M12 (13/02/2017 - 21/05/2017), 35T34 (22/05/2017 - 01/07/2017)","34","9.42","1.61"
"DEBORA MACHADO DE OLIVEIRA MEDINA","ECT2416 - EXPRESSÃO GRÁFICA","01B","35M12 (13/02/2017 - 21/05/2017), 35T56 (22/05/2017 - 01/07/2017)","32","9.65","1.57"
"DEBORA MACHADO DE OLIVEIRA MEDINA","ECT2416 - EXPRESSÃO GRÁFICA","03A","35M56 (13/02/2017 - 21/05/2017), 35T12 (22/05/2017 - 01/07/2017)","40","9.79","1"
"DEBORA MACHADO DE OLIVEIRA MEDINA","ECT2416 - EXPRESSÃO GRÁFICA","03B","35M56 (13/02/2017 - 21/05/2017), 46T12 (22/05/2017 - 01/07/2017)","36","9.66","1.48"
"DEUSDEDIT MONTEIRO MEDEIROS","ECT2415 - EQUAÇÕES DIFERENCIAIS","1","35T12 (13/02/2017 - 01/07/2017)","41","9.62","1.23"
"DIEGO RODRIGO CABRAL SILVA","ECT2303 - LINGUAGEM DE PROGRAMAÇÃO","03A","35M34 3T12 (13/02/2017 - 01/07/2017)","30","9.12","1.63"
"DIEGO RODRIGO CABRAL SILVA","ECT2303 - LINGUAGEM DE PROGRAMAÇÃO","03B","35M34 3T34 (13/02/2017 - 01/07/2017)","18","9.22","1.73"
"DIEGO RODRIGO CABRAL SILVA","ECT2303 - LINGUAGEM DE PROGRAMAÇÃO","03C","35M34 5T12 (13/02/2017 - 01/07/2017)","25","9.03","1.66"
"DIEGO RODRIGO CABRAL SILVA","ECT2303 - LINGUAGEM DE PROGRAMAÇÃO","03D","35M34 5T34 (13/02/2017 - 01/07/2017)","19","9.57","1.07"
"DOUGLAS DO NASCIMENTO SILVA","ECT2402 - INTRODUÇÃO À FÍSICA CLÁSSICA III","2","35T34 (13/02/2017 - 01/07/2017)","26","8.84","2.14"
"DOUGLAS DO NASCIMENTO SILVA","ECT2413 - MECÂNICA DOS FLUIDOS","3","35N34 (13/02/2017 - 01/07/2017)","87","9.77","1.07"
"DOUGLAS DO NASCIMENTO SILVA","ECT2413 - MECÂNICA DOS FLUIDOS","4","24N12 (13/02/2017 - 01/07/2017)","113","9.87","1.1"
"EDNA MARIA RANGEL DE SA","ECT1530 - PRÁTICAS DE LEITURA E ESCRITA DE GÊNEROS ACADÊMICOS","1","46T56 (13/02/2017 - 01/07/2017)","18","9.82","0.54"
"EDNA MARIA RANGEL DE SA","ECT2105 - PRÁTICAS DE LEITURA E ESCRITA I","2","4M56 (13/02/2017 - 01/07/2017)","113","9.43","1.7"
"EDNA MARIA RANGEL DE SA","ECT2105 - PRÁTICAS DE LEITURA E ESCRITA I","5","4N34 (13/02/2017 - 01/07/2017)","74","9.52","1.62"
"EDUARDO JOSE SANDE E OLIVEIRA DOS SANTOS SOUZA","ECT1566 - GESTÃO DO CONHECIMENTO","1","35T56 (13/02/2017 - 01/07/2017)","43","9.22","1.63"
"EDUARDO JOSE SANDE E OLIVEIRA DOS SANTOS SOUZA","ECT2302 - METODOLOGIA CIENTÍFICA E TECNOLÓGICA","2","2M12 (13/02/2017 - 01/07/2017)","88","9.15","1.6"
"EDUARDO JOSE SANDE E OLIVEIRA DOS SANTOS SOUZA","ECT2302 - METODOLOGIA CIENTÍFICA E TECNOLÓGICA","5","2N34 (13/02/2017 - 01/07/2017)","114","8.98","1.77"
"EDUARDO JOSE SANDE E OLIVEIRA DOS SANTOS SOUZA","ECT2601 - PRÁTICAS DE STARTUP TECNOLÓGICA 1","02A","35T34 (13/02/2017 - 06/05/2017), 35T34 (07/05/2017 - 01/07/2017)","14","9.68","1.18"
"EFRAIN PANTALEON MATAMOROS","ECT1553 - EMPREENDEDORISMO, NEGÓCIOS E GESTÃO DE PROJETOS INOVADORES","1","5N1234 (13/02/2017 - 01/07/2017)","56","9.61","0.92"
"EFRAIN PANTALEON MATAMOROS","ECT2206 - GESTÃO E ECONOMIA DA CIÊNCIA, TECNOLOGIA E INOVAÇÃO","1","46T56 (13/02/2017 - 01/07/2017)","126","9.31","1.57"
"EINSTEIN GOMES DOS SANTOS","ECT2303 - LINGUAGEM DE PROGRAMAÇÃO","04A","2T56 35N34 (13/02/2017 - 01/07/2017)","20","9.72","1.48"
"EINSTEIN GOMES DOS SANTOS","ECT2303 - LINGUAGEM DE PROGRAMAÇÃO","04B","4T56 35N34 (13/02/2017 - 01/07/2017)","23","9.82","1.17"
"EINSTEIN GOMES DOS SANTOS","ECT2303 - LINGUAGEM DE PROGRAMAÇÃO","04C","7M34 35N34 (13/02/2017 - 01/07/2017)","10","9.71","1.27"
"EINSTEIN GOMES DOS SANTOS","ECT2303 - LINGUAGEM DE PROGRAMAÇÃO","04D","7M56 35N34 (13/02/2017 - 01/07/2017)","9","9.72","1.94"
"EINSTEIN GOMES DOS SANTOS","ECT2203 - LÓGICA DE PROGRAMAÇÃO","04B","7T12 35N34 (13/02/2017 - 27/06/2017)","21","9.66","1.47"
"EINSTEIN GOMES DOS SANTOS","ECT2203 - LÓGICA DE PROGRAMAÇÃO","04D","7T34 35N34 (13/02/2017 - 27/06/2017)","14","7.92","2.46"
"EINSTEIN GOMES DOS SANTOS","ECT2203 - LÓGICA DE PROGRAMAÇÃO","05B","7T12 35N12 (13/02/2017 - 27/06/2017)","31","9.04","1.85"
"EINSTEIN GOMES DOS SANTOS","ECT2203 - LÓGICA DE PROGRAMAÇÃO","05D","7T34 35N12 (13/02/2017 - 27/06/2017)","17","9.25","1.3"
"ELISAMA VIEIRA DOS SANTOS","ECT2104 - QUÍMICA GERAL","04A","3T56 25N12 (13/02/2017 - 01/07/2017)","20","9.16","1.79"
"ELISAMA VIEIRA DOS SANTOS","ECT2104 - QUÍMICA GERAL","04B","7M12 25N12 (13/02/2017 - 01/07/2017)","8","7.47","2.12"
"ELISAMA VIEIRA DOS SANTOS","ECT2104 - QUÍMICA GERAL","04C","7M34 25N12 (13/02/2017 - 01/07/2017)","22","9.23","1.95"
"ELISAMA VIEIRA DOS SANTOS","ECT2104 - QUÍMICA GERAL","04D","7M56 25N12 (13/02/2017 - 01/07/2017)","11","9.27","1.81"
"ELISAMA VIEIRA DOS SANTOS","ECT2104 - QUÍMICA GERAL","04E","7T12 25N12 (13/02/2017 - 01/07/2017)","10","9.75","1.35"
"ELTON JOSE FIGUEIREDO DE CARVALHO","ECT2202 - ÁLGEBRA LINEAR","2","35T12 (13/02/2017 - 01/07/2017)","71","8.79","2.18"
"ELTON JOSE FIGUEIREDO DE CARVALHO","ECT2202 - ÁLGEBRA LINEAR","3","35T56 (13/02/2017 - 01/07/2017)","120","9.12","1.83"
"EMANUELE ORAZI","ECT2103 - CÁLCULO I","4","2356N12 (25/04/2017 - 01/07/2017)","90","8.58","2.36"
"EMANUELE ORAZI","ECT2103 - CÁLCULO I","7","2356M56 (25/04/2017 - 01/07/2017)","23","9.8","1.14"
"EVERTON SANTI","ECT2303 - LINGUAGEM DE PROGRAMAÇÃO","02A","35M12 2T12 (13/02/2017 - 01/07/2017)","19","9.66","1.58"
"EVERTON SANTI","ECT2303 - LINGUAGEM DE PROGRAMAÇÃO","02B","35M12 2T34 (13/02/2017 - 01/07/2017)","14","9.55","1.62"
"EVERTON SANTI","ECT2303 - LINGUAGEM DE PROGRAMAÇÃO","02C","35M12 4T12 (13/02/2017 - 01/07/2017)","8","9.88","1.58"
"EVERTON SANTI","ECT2303 - LINGUAGEM DE PROGRAMAÇÃO","02D","35M12 4T34 (13/02/2017 - 01/07/2017)","12","9.22","1.99"
"FABIANA TRISTAO DE SANTANA","ECT2102 - VETORES E GEOMETRIA ANALÍTICA","1","36M56 (13/02/2017 - 01/07/2017)","104","9.71","1.54"
"FABIANA TRISTAO DE SANTANA","ECT2102 - VETORES E GEOMETRIA ANALÍTICA","3","36M34 (13/02/2017 - 01/07/2017)","112","9.68","1.42"
"FABIO JOSE PINHEIRO SOUSA","ECT2416 - EXPRESSÃO GRÁFICA","02A","35M12 (13/02/2017 - 21/05/2017), 46T34 (22/05/2017 - 01/07/2017)","28","9.51","1.51"
"FABIO JOSE PINHEIRO SOUSA","ECT2416 - EXPRESSÃO GRÁFICA","02B","35M12 (13/02/2017 - 21/05/2017), 46T56 (22/05/2017 - 01/07/2017)","12","9.91","0.7"
"FABIO JOSE PINHEIRO SOUSA","ECT2416 - EXPRESSÃO GRÁFICA","05A","6N1234 (13/02/2017 - 01/07/2017)","34","9.77","1.22"
"FABIO JOSE PINHEIRO SOUSA","ECT2416 - EXPRESSÃO GRÁFICA","05B","6N1234 (13/02/2017 - 21/05/2017), 35T56 (22/05/2017 - 29/06/2017), 7N12 (30/06/2017 - 01/07/2017)","11","9.38","1.37"
"FABIO SPEROTTO BEMFICA","ECT2301 - CÁLCULO III","2","46M34 (13/02/2017 - 01/07/2017)","74","9.36","1.67"
"FABIO SPEROTTO BEMFICA","ECT2102 - VETORES E GEOMETRIA ANALÍTICA","9","46M12 (13/02/2017 - 01/07/2017)","37","9.57","1.52"
"FILIPE MARTEL DE MAGALHAES BORGES","ECT2104 - QUÍMICA GERAL","02A","2M1256 5M56 (13/02/2017 - 01/07/2017)","11","9.86","1.12"
"FILIPE MARTEL DE MAGALHAES BORGES","ECT2104 - QUÍMICA GERAL","02B","25M56 3M12 (13/02/2017 - 01/07/2017)","22","9.71","1.46"
"FILIPE MARTEL DE MAGALHAES BORGES","ECT2104 - QUÍMICA GERAL","02C","25M56 4M12 (13/02/2017 - 01/07/2017)","25","9.88","1.21"
"FILIPE MARTEL DE MAGALHAES BORGES","ECT2104 - QUÍMICA GERAL","02D","2M56 5M1256 (13/02/2017 - 01/07/2017)","26","9.64","1.53"
"FILIPE MARTEL DE MAGALHAES BORGES","ECT2104 - QUÍMICA GERAL","02E","25M56 6M12 (13/02/2017 - 01/07/2017)","26","9.91","1.53"
"FLAVIO BEZERRA COSTA","ECT2414 - ELETRICIDADE APLICADA","04B","5T56 24N12 (13/02/2017 - 31/03/2017), 24N12 (01/04/2017 - 25/06/2017)","8","9","1.96"
"FLAVIO BEZERRA COSTA","ECT2414 - ELETRICIDADE APLICADA","04C","7M34 24N12 (13/02/2017 - 31/03/2017), 24N12 (01/04/2017 - 01/07/2017)","7","9.32","1.54"
"FLAVIO BEZERRA COSTA","ECT2414 - ELETRICIDADE APLICADA","04D","7M56 24N12 (13/02/2017 - 31/03/2017), 24N12 (01/04/2017 - 01/07/2017)","7","9.07","1.44"
"FRANCISCO EDSON DA SILVA","ECT2101 - PRÉ-CÁLCULO","1","2356M34 (13/02/2017 - 24/04/2017)","88","9.54","1.72"
"FRANCISCO EDSON DA SILVA","ECT2102 - VETORES E GEOMETRIA ANALÍTICA","2","36M56 (13/02/2017 - 01/07/2017)","121","9.15","1.81"
"FRANCISCO JOSE TARGINO VIDAL","ECT2401 - COMPUTAÇÃO NUMÉRICA","03A","35T34 (13/02/2017 - 31/03/2017), 5M34 35T34 (01/04/2017 - 01/07/2017)","7","9.36","1.35"
"FRANCISCO JOSE TARGINO VIDAL","ECT2401 - COMPUTAÇÃO NUMÉRICA","03B","35T34 (13/02/2017 - 31/03/2017), 5M34 35T34 (01/04/2017 - 01/07/2017)","9","9.73","1.44"
"FRANCISCO JOSE TARGINO VIDAL","ECT2401 - COMPUTAÇÃO NUMÉRICA","03C","35T34 (13/02/2017 - 31/03/2017), 5M56 35T34 (01/04/2017 - 01/07/2017)","12","8.56","2.36"
"GEORGE OLIVEIRA DE ARAUJO AZEVEDO","ECT2413 - MECÂNICA DOS FLUIDOS","3","35N34 (13/02/2017 - 01/07/2017)","87","9.87","1.11"
"GEORGE OLIVEIRA DE ARAUJO AZEVEDO","ECT2413 - MECÂNICA DOS FLUIDOS","4","24N12 (13/02/2017 - 01/07/2017)","113","9.88","1.06"
"GEORGE OLIVEIRA DE ARAUJO AZEVEDO","ECT2412 - MECÂNICA DOS SÓLIDOS","4","24N34 (13/02/2017 - 01/07/2017)","45","9.83","1"
"GLAUCIO BEZERRA BRANDAO","ECT1566 - GESTÃO DO CONHECIMENTO","1","35T56 (13/02/2017 - 01/07/2017)","43","9.57","1.18"
"GLAUCIO BEZERRA BRANDAO","ECT2302 - METODOLOGIA CIENTÍFICA E TECNOLÓGICA","2","2M12 (13/02/2017 - 01/07/2017)","88","9.13","1.65"
"GLAUCIO BEZERRA BRANDAO","ECT2302 - METODOLOGIA CIENTÍFICA E TECNOLÓGICA","5","2N34 (13/02/2017 - 01/07/2017)","114","9.36","1.57"
"GLAUCIO BEZERRA BRANDAO","ECT2601 - PRÁTICAS DE STARTUP TECNOLÓGICA 1","02A","35T34 (13/02/2017 - 06/05/2017), 35T34 (07/05/2017 - 01/07/2017)","14","9.38","1.73"
"GLICIA MARILI AZEVEDO DE MEDEIROS TINOCO","ECT1531 - PRÁTICAS DE LEITURA E ESCRITA DE GÊNEROS DA ESFERA PROFISSIONAL","1","35T56 (13/02/2017 - 02/06/2017)","16","9.96","0.8"
"GLICIA MARILI AZEVEDO DE MEDEIROS TINOCO","ECT2205 - PRÁTICAS DE LEITURA E ESCRITA II","2","2T34 (13/02/2017 - 01/07/2017)","77","9.41","1.89"
"GLICIA MARILI AZEVEDO DE MEDEIROS TINOCO","ECT2205 - PRÁTICAS DE LEITURA E ESCRITA II","5","2N12 (13/02/2017 - 01/07/2017)","79","9.24","1.53"
"GUSTAVO ZAMPIER DOS SANTOS LIMA","ECT2101 - PRÉ-CÁLCULO","4","2356N12 (13/02/2017 - 24/04/2017)","70","9.74","1.35"
"HECTOR LENY CARRION SALAZAR","ECT2202 - ÁLGEBRA LINEAR","1","35T12 (13/02/2017 - 01/07/2017)","38","9.46","1.29"
"HECTOR LENY CARRION SALAZAR","ECT2202 - ÁLGEBRA LINEAR","5","46N12 (13/02/2017 - 01/07/2017)","44","9.22","1.72"
"HELTON MAIA PEIXOTO","ECT2303 - LINGUAGEM DE PROGRAMAÇÃO","02A","35M12 2T12 (13/02/2017 - 01/07/2017)","19","9.84","0.94"
"HELTON MAIA PEIXOTO","ECT2303 - LINGUAGEM DE PROGRAMAÇÃO","02B","35M12 2T34 (13/02/2017 - 01/07/2017)","14","9.42","1.66"
"HELTON MAIA PEIXOTO","ECT2303 - LINGUAGEM DE PROGRAMAÇÃO","03C","35M34 5T12 (13/02/2017 - 01/07/2017)","25","9.49","1.14"
"HELTON MAIA PEIXOTO","ECT2303 - LINGUAGEM DE PROGRAMAÇÃO","03D","35M34 5T34 (13/02/2017 - 01/07/2017)","19","9.82","0.57"
"HERCULANA TORRES DOS SANTOS","ECT2302 - METODOLOGIA CIENTÍFICA E TECNOLÓGICA","1","2M12 (13/02/2017 - 01/07/2017)","100","9.43","1.44"
"HERCULANA TORRES DOS SANTOS","ECT2302 - METODOLOGIA CIENTÍFICA E TECNOLÓGICA","3","2M34 (13/02/2017 - 01/07/2017)","133","8.98","1.74"
"HERCULANA TORRES DOS SANTOS","ECT2302 - METODOLOGIA CIENTÍFICA E TECNOLÓGICA","4","2N34 (13/02/2017 - 01/07/2017)","112","9.02","1.52"
"HERCULANA TORRES DOS SANTOS","ECT2601 - PRÁTICAS DE STARTUP TECNOLÓGICA 1","02B","35T34 (13/02/2017 - 01/07/2017)","8","8.9","1.05"
"IDALMIS MILIAN SARDINA MARTINS","ECT2203 - LÓGICA DE PROGRAMAÇÃO","10A","6M34 35T12 (13/02/2017 - 27/06/2017)","22","8.5","1.84"
"IDALMIS MILIAN SARDINA MARTINS","ECT2203 - LÓGICA DE PROGRAMAÇÃO","10B","6M34 35T12 (13/02/2017 - 27/06/2017)","18","7.74","2.38"
"IDALMIS MILIAN SARDINA MARTINS","ECT2203 - LÓGICA DE PROGRAMAÇÃO","10C","6M56 35T12 (13/02/2017 - 27/06/2017)","17","8.12","2.24"
"IDALMIS MILIAN SARDINA MARTINS","ECT2203 - LÓGICA DE PROGRAMAÇÃO","10D","6M56 35T12 (13/02/2017 - 27/06/2017)","19","8.54","1.8"
"IRENALDO PESSOA CANDIDO JUNIOR","ECT2307 - FÍSICA EXPERIMENTAL I","09A","7M456 (13/02/2017 - 18/03/2017), 7M456 (01/05/2017 - 01/07/2017)","29","8.99","1.54"
"IRENALDO PESSOA CANDIDO JUNIOR","ECT2403 - FÍSICA EXPERIMENTAL II","08A","7M123 (13/02/2017 - 18/03/2017), 7M123 (01/05/2017 - 01/07/2017)","14","9.16","1.81"
"IRENALDO PESSOA CANDIDO JUNIOR","ECT2403 - FÍSICA EXPERIMENTAL II","10A","7T123 (13/02/2017 - 18/03/2017), 7T123 (01/05/2017 - 01/07/2017)","20","9.7","1.18"
"IRENALDO PESSOA CANDIDO JUNIOR","ECT2402 - INTRODUÇÃO À FÍSICA CLÁSSICA III","2","35T34 (13/02/2017 - 01/07/2017)","26","9.78","0.53"
"IVANDSON PRAEIRO DE SOUSA","ECT2307 - FÍSICA EXPERIMENTAL I","07A","6T123 (13/02/2017 - 18/03/2017), 6T123 (01/05/2017 - 01/07/2017)","32","9.77","1.19"
"IVANDSON PRAEIRO DE SOUSA","ECT2307 - FÍSICA EXPERIMENTAL I","08A","7M123 (13/02/2017 - 18/03/2017), 7M123 (01/05/2017 - 01/07/2017)","29","9.84","1.07"
"IVANDSON PRAEIRO DE SOUSA","ECT2307 - FÍSICA EXPERIMENTAL I","09A","7M456 (13/02/2017 - 18/03/2017), 7M456 (01/05/2017 - 01/07/2017)","29","9.93","1.19"
"IVANDSON PRAEIRO DE SOUSA","ECT2307 - FÍSICA EXPERIMENTAL I","10A","7T123 (13/02/2017 - 18/03/2017), 7T123 (01/05/2017 - 01/07/2017)","28","9.85","1.68"
